District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Kokrajhar,68.0,852.0,75.5,37.5,14.4,99.6,63.7,76.0,19.6,41.3,36.8,11.9,37.2,25.8,65.4,40.5,31.6,74.1,11.6,10.7,31.9,22.3,18.3,10.4,12.0,41.4,51.6,24.8,AS,Rural,North Eastern Zone
Dhubri,62.6,832.0,89.4,29.3,8.2,98.7,55.4,64.8,13.4,49.8,28.4,21.9,23.7,11.4,40.0,16.6,31.3,62.3,8.6,10.3,48.9,32.2,14.3,6.1,15.1,43.3,51.3,28.1,AS,Rural,North Eastern Zone
Goalpara,70.2,868.0,85.9,41.9,10.5,99.5,66.9,68.4,18.1,43.2,32.5,18.2,39.4,30.9,69.1,40.6,56.0,80.0,11.9,12.5,45.7,24.7,15.5,9.6,12.3,38.1,50.9,27.2,AS,Rural,North Eastern Zone
Barpeta,69.5,947.0,98.2,34.0,17.8,99.4,66.0,81.3,23.2,49.4,41.5,10.2,46.3,18.8,48.9,32.7,40.3,68.4,10.0,9.7,41.5,26.6,29.3,11.5,14.4,30.2,35.2,19.7,AS,Rural,North Eastern Zone
Morigaon,74.8,1073.0,97.8,38.1,13.6,99.2,71.8,78.0,20.9,49.1,36.3,14.2,40.8,36.5,71.1,39.9,38.2,66.2,6.8,7.6,38.8,29.6,27.9,9.9,6.8,39.3,41.6,22.2,AS,Rural,North Eastern Zone
Nagaon,77.6,1023.0,94.5,43.7,12.6,99.8,71.5,78.7,15.7,45.0,41.1,17.0,43.1,29.3,65.4,42.6,41.0,73.1,10.4,9.4,40.9,29.2,27.5,14.8,4.2,36.5,38.0,17.7,AS,Rural,North Eastern Zone
Sonitpur,72.2,952.0,70.5,60.1,16.2,99.8,65.8,86.7,20.7,27.0,45.3,9.4,42.2,40.2,88.0,43.6,58.3,66.8,9.5,9.0,28.8,22.0,20.3,11.1,14.5,27.8,49.3,32.7,AS,Rural,North Eastern Zone
Lakhimpur,78.6,1024.0,70.8,48.9,12.8,99.9,76.8,85.2,36.8,28.1,38.0,19.8,58.9,44.4,81.4,53.8,47.0,76.0,11.3,10.5,31.0,21.9,8.5,13.4,14.2,30.9,37.4,26.3,AS,Rural,North Eastern Zone
Dhemaji,74.2,905.0,91.1,41.5,8.4,99.2,73.1,86.7,35.1,38.5,34.1,18.0,47.3,33.8,74.6,49.1,44.5,67.2,9.2,9.8,36.1,17.4,11.8,11.9,11.3,39.4,39.6,16.1,AS,Rural,North Eastern Zone
Tinsukia,62.4,865.0,94.8,45.1,12.2,99.9,52.6,72.4,12.6,26.2,47.0,11.4,54.5,36.0,72.0,53.9,63.2,70.0,8.4,8.1,40.1,42.0,44.1,7.7,5.3,49.1,54.2,32.0,AS,Rural,North Eastern Zone
Dibrugarh,72.9,948.0,98.5,57.2,14.7,99.7,69.7,78.2,21.9,25.6,37.3,15.3,67.0,54.1,87.5,68.5,67.6,69.0,11.6,11.2,34.8,33.2,30.7,10.6,13.4,52.5,55.6,38.0,AS,Rural,North Eastern Zone
Sivasagar,77.7,1071.0,95.8,55.4,20.3,99.9,75.9,80.1,34.2,29.9,31.6,15.8,69.9,39.9,86.5,73.0,56.1,62.8,14.5,14.5,37.4,32.2,33.8,12.1,10.5,35.8,36.5,16.8,AS,Rural,North Eastern Zone
Jorhat,80.5,764.0,85.6,61.6,21.4,99.7,80.0,90.7,34.3,21.6,31.4,12.6,72.3,65.6,96.5,61.5,51.9,70.0,4.1,4.1,26.5,29.9,16.8,7.8,10.2,39.1,42.8,18.3,AS,Rural,North Eastern Zone
Golaghat,79.8,1097.0,93.5,58.1,9.3,100.0,73.6,82.3,26.2,27.9,31.3,16.2,61.7,44.7,87.9,68.6,64.6,80.3,11.7,11.1,31.6,27.0,20.1,11.8,11.8,34.2,46.5,34.1,AS,Rural,North Eastern Zone
Karbi Anglong,67.5,911.0,51.7,40.4,9.4,99.7,59.1,75.6,13.3,29.9,42.1,13.8,37.2,23.1,47.2,23.5,36.8,79.4,12.6,12.1,28.4,18.2,12.9,12.5,10.3,25.8,37.8,15.2,AS,Rural,North Eastern Zone
Dima Hasao,67.2,961.0,41.0,54.1,4.4,100.0,63.8,78.2,17.6,26.0,30.2,17.9,26.0,30.0,47.6,55.1,40.6,62.3,5.0,4.8,39.9,16.0,10.1,9.3,4.8,31.6,40.4,13.0,AS,Rural,North Eastern Zone
Cachar,74.7,960.0,54.0,30.7,16.8,99.9,70.5,87.2,20.9,20.8,29.0,13.2,51.6,17.9,69.7,41.9,56.2,30.7,1.2,1.1,37.8,35.5,26.6,6.0,7.3,31.9,53.2,33.1,AS,Rural,North Eastern Zone
Karimganj,79.2,958.0,59.3,35.9,16.2,99.5,76.5,89.1,16.1,30.5,31.7,15.6,38.2,17.7,45.9,52.2,67.0,29.0,7.7,7.1,44.0,31.9,26.8,9.2,7.4,24.8,43.2,21.8,AS,Rural,North Eastern Zone
Hailakandi,74.6,967.0,47.4,32.5,7.9,99.8,71.2,85.3,18.1,23.8,34.0,16.7,34.0,24.2,55.5,39.8,70.3,30.7,6.1,5.9,39.2,34.1,17.1,6.1,6.6,29.4,46.6,26.9,AS,Rural,North Eastern Zone
Bongaigaon,71.7,874.0,72.6,40.7,16.8,99.9,70.2,84.9,20.0,42.0,38.2,10.7,24.5,34.5,65.9,39.7,51.9,67.8,14.5,13.7,41.0,20.2,11.7,12.3,19.1,33.1,49.2,26.5,AS,Rural,North Eastern Zone
Chirang,66.5,1153.0,69.0,29.9,15.5,98.5,62.3,74.7,19.6,34.6,30.6,8.0,41.4,34.0,59.9,40.1,47.5,76.1,4.7,4.4,39.4,21.9,14.4,15.3,13.7,36.8,49.3,27.9,AS,Rural,North Eastern Zone
Kamrup,75.7,1014.0,94.0,52.9,34.8,98.9,76.2,88.8,32.3,28.3,29.2,19.2,42.2,22.2,82.5,37.1,56.2,59.6,6.9,9.7,34.2,18.5,8.4,13.3,14.4,33.9,52.0,34.8,AS,Rural,North Eastern Zone
Kamrup Metropolitan,89.5,825.0,82.0,62.5,87.4,99.9,86.3,94.6,52.7,21.5,36.7,17.3,60.0,47.7,94.2,77.1,58.4,60.1,12.2,13.2,23.3,16.2,15.2,27.5,29.7,32.9,54.8,22.5,AS,Urban,North Eastern Zone
Nalbari,78.1,900.0,99.2,52.1,33.6,99.8,78.5,83.7,32.4,27.6,44.8,7.3,47.9,34.2,81.5,45.2,48.1,72.9,2.7,2.6,27.7,20.7,20.2,17.1,10.5,46.1,44.4,28.2,AS,Rural,North Eastern Zone
Baksa,71.8,979.0,82.3,54.3,15.9,99.2,72.4,83.5,27.8,29.3,38.9,12.0,49.7,39.9,87.6,59.3,54.7,74.0,13.0,12.7,32.8,17.5,17.5,15.1,7.6,38.9,53.0,36.0,AS,Rural,North Eastern Zone
Darrang,69.1,983.0,96.8,44.6,12.8,99.5,66.1,70.0,21.1,40.3,45.1,6.2,38.2,25.6,64.3,40.8,47.8,74.0,1.1,1.1,43.7,27.5,26.4,9.1,5.3,45.8,45.8,33.5,AS,Rural,North Eastern Zone
Udalguri,67.9,890.0,81.2,53.6,10.4,99.6,65.5,82.5,20.3,31.3,46.5,9.0,36.0,29.4,70.6,55.9,62.4,82.2,3.3,3.2,39.0,20.6,12.5,9.4,12.3,40.6,56.3,31.9,AS,Rural,North Eastern Zone
West Tripura,89.2,1364.0,97.8,68.3,72.4,99.9,87.1,94.5,40.2,21.7,44.3,11.8,75.8,17.3,90.8,63.8,72.8,39.9,7.7,8.7,15.0,14.6,11.4,23.9,18.8,53.2,55.6,20.0,TR,Urban,North Eastern Zone
West Tripura,81.4,832.0,96.8,69.3,18.8,98.7,79.6,90.7,19.2,35.0,42.0,13.0,66.2,11.4,88.1,52.8,69.2,38.5,4.8,5.7,22.5,16.9,13.6,14.2,18.4,51.3,54.2,24.9,TR,Rural,North Eastern Zone
South Tripura,76.0,955.0,89.5,61.2,14.6,98.3,76.2,90.1,16.1,36.3,44.5,9.0,55.7,15.7,74.8,59.1,68.6,48.4,7.9,7.6,26.3,18.9,16.0,12.7,15.8,54.3,54.1,35.7,TR,Rural,North Eastern Zone
Dhalai,74.8,906.0,62.0,49.3,15.0,99.4,68.4,77.9,12.6,33.3,44.4,7.2,64.2,10.6,73.7,39.7,55.7,52.0,8.9,8.4,33.8,15.7,13.7,12.3,13.8,51.2,56.9,30.7,TR,Rural,North Eastern Zone
North Tripura,79.4,1057.0,56.5,43.6,13.0,99.5,77.6,81.4,13.1,33.4,40.6,9.3,51.4,11.8,60.5,47.0,44.5,55.6,1.3,2.4,29.4,30.9,26.3,10.5,7.8,41.0,52.1,19.7,TR,Rural,North Eastern Zone
Tawang,38.2,939.78,94.14,50.74,39.58,99.59,35.8,53.88,15.22,6.56,23.14,31.07,9.32,7.37,25.66,25.83,29.94,49.49,20.15,19.84,21.93,3.39,4.94,27.99,29.05,44.92,26.43,17.12,AR,Rural,North Eastern Zone
West Kameng,61.28,1095.85,93.73,56.97,47.25,99.02,57.84,85.67,20.55,31.07,19.43,34.61,26.77,5.65,52.02,24.27,41.96,67.9,23.85,26.0,28.93,8.32,7.86,29.15,15.12,38.78,26.57,5.2,AR,Rural,North Eastern Zone
East Kameng,49.8,1054.34,74.1,23.77,13.42,99.56,41.38,75.71,14.33,25.66,4.41,26.68,0.58,2.05,20.88,4.81,15.64,58.87,7.07,7.07,39.98,7.37,4.54,14.96,15.08,40.25,27.03,18.74,AR,Rural,North Eastern Zone
Papum Pare,83.55,798.99,94.85,69.69,95.43,99.73,82.29,92.76,57.38,19.42,11.09,33.59,31.75,14.33,89.71,39.71,49.8,45.72,11.69,12.99,19.3,8.99,11.42,29.76,27.13,56.46,48.07,17.67,AR,Urban,North Eastern Zone
Papum Pare,69.17,786.21,86.36,65.39,67.04,98.06,65.92,90.93,33.88,29.99,14.59,31.26,19.33,8.62,70.84,28.45,53.17,27.24,8.05,14.15,31.15,10.12,8.87,21.83,27.62,50.71,38.27,10.71,AR,Rural,North Eastern Zone
Upper Subansiri,57.57,930.18,83.08,56.7,25.79,99.2,52.14,70.08,22.48,30.35,17.07,24.84,14.29,0.48,39.48,19.64,49.5,66.77,28.9,32.14,28.02,10.1,9.47,14.14,14.4,48.52,38.3,20.67,AR,Rural,North Eastern Zone
West Siang,66.76,915.02,87.74,71.06,30.05,98.45,70.5,88.82,36.8,22.23,11.77,29.68,17.72,1.6,44.45,38.54,48.72,67.12,19.57,20.03,36.4,5.78,3.21,19.86,16.65,32.69,35.09,13.72,AR,Rural,North Eastern Zone
East Siang,68.9,947.42,97.35,71.15,26.67,99.7,78.42,89.58,43.41,21.32,28.31,19.24,30.63,9.73,60.13,54.85,56.45,38.21,6.19,12.94,20.9,4.71,6.83,22.8,32.19,47.54,34.56,22.12,AR,Rural,North Eastern Zone
Changlang,64.56,999.28,67.61,53.86,20.86,99.84,61.31,88.68,18.97,22.2,47.63,11.14,35.7,11.52,49.01,76.95,24.76,69.62,8.19,7.92,23.9,9.02,9.26,12.09,11.05,65.16,55.6,18.92,AR,Rural,North Eastern Zone
Tirap,66.45,1009.07,66.53,49.67,7.14,99.09,68.28,88.12,15.95,15.97,39.66,11.37,22.72,6.24,26.28,43.71,19.94,73.06,7.66,7.57,40.13,6.09,7.0,4.39,8.52,56.03,43.31,11.73,AR,Rural,North Eastern Zone
Lower Subansiri,60.83,893.69,97.27,70.57,60.25,99.61,62.93,90.62,34.03,15.59,9.72,22.21,24.85,10.01,56.89,37.53,45.29,53.51,24.44,23.86,33.94,5.34,5.04,19.42,26.86,44.92,37.34,19.55,AR,Rural,North Eastern Zone
Kurung Kumey,53.9,1111.48,92.28,46.56,38.27,99.28,44.46,71.48,16.61,37.38,11.85,21.41,7.72,2.63,29.2,17.81,22.7,54.36,7.97,7.4,38.99,3.36,3.17,12.37,26.25,44.37,27.73,10.31,AR,Rural,North Eastern Zone
Dibang Valley,63.86,1295.86,99.33,77.76,24.73,99.02,69.24,76.59,31.19,23.66,44.35,15.36,20.25,23.99,51.87,40.78,23.64,66.06,10.29,9.63,38.77,7.35,5.79,25.81,17.49,31.93,22.92,3.98,AR,Rural,North Eastern Zone
Lower Dibang Valley,62.29,706.56,94.89,67.6,30.75,98.81,60.3,79.81,21.99,29.35,26.71,16.92,16.9,13.07,52.33,37.55,42.09,46.18,14.47,17.34,23.6,8.45,5.91,15.9,16.55,59.27,38.68,16.85,AR,Rural,North Eastern Zone
Lohit,66.41,821.01,90.93,58.46,11.63,100.0,58.0,67.77,16.79,31.81,50.38,11.04,44.54,12.85,40.95,48.17,39.62,80.61,12.76,12.0,28.67,17.59,18.3,13.12,15.21,59.01,57.12,36.77,AR,Rural,North Eastern Zone
Anjaw,62.19,1143.19,86.54,44.47,21.42,98.56,63.15,84.56,26.02,25.94,24.07,25.09,20.7,4.33,50.53,34.49,48.26,53.46,16.29,25.21,21.12,3.83,3.2,18.43,24.71,54.96,28.19,9.28,AR,Rural,North Eastern Zone
Srikakulam,54.3,865.0,74.7,26.6,31.6,77.3,55.7,76.2,31.2,25.1,69.5,6.6,72.6,64.3,90.2,55.7,89.6,26.5,4.1,3.1,28.1,22.7,18.8,21.0,12.4,73.0,71.8,28.3,AP,Rural,Southern Zone
Vizianagaram,51.6,917.0,92.5,18.6,34.8,63.3,49.3,63.6,28.4,30.2,70.8,3.4,67.9,49.7,89.0,50.6,74.9,40.0,6.7,8.7,42.0,29.7,25.5,16.0,28.0,80.9,77.1,45.4,AP,Rural,Southern Zone
East Godavari,64.1,968.0,82.1,50.1,37.3,77.1,66.8,78.1,28.2,37.2,73.5,2.1,74.9,58.0,96.7,58.2,79.0,38.7,5.2,4.2,29.7,18.2,15.2,32.2,24.7,65.7,69.1,47.6,AP,Rural,Southern Zone
West Godavari,68.7,755.0,73.4,55.6,54.2,83.0,68.0,63.1,34.7,33.3,76.5,3.7,70.6,41.7,96.9,84.7,72.2,30.6,3.9,2.8,26.8,16.3,16.6,36.9,39.5,55.5,61.5,18.6,AP,Rural,Southern Zone
Prakasam,49.8,768.0,59.5,49.6,62.0,74.3,52.1,68.2,25.5,46.6,72.2,3.9,73.7,52.4,90.4,61.7,70.3,29.2,8.5,11.4,27.8,17.9,12.7,29.3,34.8,57.8,59.4,28.5,AP,Rural,Southern Zone
Y.S.R.,75.0,829.0,36.8,93.9,92.9,89.0,78.3,88.8,56.6,20.5,57.1,8.5,78.2,57.1,92.3,64.6,72.2,55.4,2.6,3.6,34.3,13.1,14.6,39.6,52.1,52.1,55.2,9.9,AP,Urban,Southern Zone
Y.S.R.,49.7,604.0,66.6,54.3,60.2,64.1,54.3,67.4,32.3,34.2,60.5,3.6,86.4,57.3,94.4,65.8,86.9,30.4,7.1,9.3,37.4,22.0,8.8,19.6,32.0,57.7,59.2,25.4,AP,Rural,Southern Zone
Kurnool,52.1,867.0,81.8,46.4,53.8,73.3,44.2,66.2,20.2,44.5,67.3,4.6,68.8,51.2,70.2,69.6,73.5,30.7,0.0,0.0,44.7,23.7,15.6,20.3,26.7,54.9,53.3,27.1,AP,Rural,Southern Zone
Anantapur,52.1,1077.0,69.5,35.0,55.9,71.8,53.7,80.9,28.8,26.8,65.4,4.1,74.6,60.9,86.6,76.4,60.8,53.2,17.7,18.7,38.7,24.5,21.4,20.1,20.2,51.0,49.7,21.7,AP,Rural,Southern Zone
Chittoor,60.9,1140.0,76.3,30.0,47.0,79.2,63.5,82.3,34.9,32.5,61.3,3.3,70.8,62.2,92.7,74.1,76.0,44.6,0.0,1.7,31.7,23.6,19.2,22.2,25.6,46.4,48.1,24.1,AP,Rural,Southern Zone
Adilabad,48.9,722.0,81.5,22.0,26.8,96.3,42.6,72.5,21.0,40.5,45.9,7.2,69.3,38.8,64.3,72.0,74.1,20.5,5.4,5.1,39.0,39.2,31.9,11.6,6.2,70.2,64.7,34.0,TG,Rural,Southern Zone
Nizamabad,48.1,820.0,87.9,36.3,46.7,95.4,50.1,77.6,28.1,33.3,43.9,7.8,71.3,48.7,93.8,64.6,73.8,29.4,5.4,6.4,37.3,29.7,23.3,15.8,26.2,70.2,55.4,22.6,TG,Rural,Southern Zone
Medak,51.3,932.0,89.9,49.7,34.4,97.5,51.7,81.1,31.1,35.2,47.6,7.0,64.4,30.9,88.0,90.3,72.5,43.8,6.6,8.1,32.0,31.8,22.8,16.9,15.9,68.2,57.9,22.4,TG,Rural,Southern Zone
Hyderabad,79.8,827.0,90.5,73.2,91.6,98.9,79.8,85.9,58.4,10.5,55.5,10.7,85.8,73.1,97.2,71.3,73.9,40.8,28.5,26.1,15.7,12.9,19.6,47.9,33.7,54.9,54.0,5.3,TG,Urban,Southern Zone
Rangareddy,79.6,783.0,83.4,54.9,94.9,100.0,82.6,95.5,61.6,20.8,68.7,6.5,73.8,51.6,96.2,66.4,70.0,31.6,4.8,6.7,22.8,17.3,15.2,37.1,28.3,42.8,52.5,10.4,TG,Urban,Southern Zone
Mahbubnagar,45.5,905.0,74.8,25.4,39.4,77.6,40.8,69.2,24.1,51.6,66.1,5.2,58.8,46.9,76.4,47.2,72.9,36.4,5.3,4.8,38.1,31.1,25.4,16.4,18.3,65.8,51.1,8.3,TG,Rural,Southern Zone
Nalgonda,51.8,788.0,56.2,47.1,56.2,88.1,54.3,81.8,30.9,36.7,67.1,3.8,74.8,33.2,96.0,72.4,84.0,34.0,4.1,6.4,30.6,27.8,20.5,21.5,19.2,70.8,54.7,16.6,TG,Rural,Southern Zone
Warangal,54.1,958.0,73.0,35.3,49.3,96.5,61.9,84.7,36.6,34.7,48.8,7.3,82.3,74.0,94.3,72.4,93.2,38.1,8.5,8.9,26.8,26.9,21.2,18.7,23.9,64.9,56.4,18.7,TG,Rural,Southern Zone
Khammam,55.3,806.0,87.3,41.1,61.9,99.3,55.3,79.2,29.6,34.4,69.7,3.7,80.8,57.2,92.4,55.8,80.4,46.0,6.9,10.7,30.1,23.8,25.2,23.1,18.2,70.7,72.3,30.2,TG,Rural,Southern Zone
Uttarkashi,64.1,821.0,72.9,45.1,21.6,92.8,69.3,92.9,37.0,12.0,64.9,11.0,20.3,27.7,64.4,71.2,28.4,31.4,6.4,5.5,36.2,17.1,14.4,10.3,7.5,76.3,52.6,25.9,UT,Rural,Central Zone
Chamoli,71.0,970.0,91.8,59.2,22.5,82.7,84.1,97.2,45.3,10.4,60.0,13.3,17.8,17.2,50.1,58.7,39.5,43.9,8.9,10.9,37.5,16.5,16.9,12.9,8.2,54.0,36.7,14.8,UT,Rural,Central Zone
Rudraprayag,69.5,911.0,85.7,66.2,27.4,86.0,82.6,97.7,50.1,9.7,58.2,11.9,11.5,21.9,63.6,71.4,46.7,53.5,11.2,10.4,29.0,15.4,16.9,11.4,12.1,60.3,39.5,11.5,UT,Rural,Central Zone
Tehri Garhwal,61.0,913.0,72.2,60.4,20.1,96.7,73.0,89.9,48.3,11.6,60.6,16.0,17.3,20.6,66.9,50.3,27.1,37.9,7.7,6.6,32.2,20.5,19.2,4.5,6.3,60.5,44.7,10.5,UT,Rural,Central Zone
Dehradun,83.1,804.0,99.7,76.5,94.5,99.6,87.4,98.0,64.8,8.3,53.0,9.0,43.6,26.1,85.4,48.6,33.1,29.8,10.5,9.6,24.9,17.9,8.9,24.4,23.1,50.3,40.7,15.3,UT,Urban,Central Zone
Dehradun,74.3,866.0,99.2,74.0,67.5,98.1,79.4,90.1,52.2,10.4,53.3,16.3,51.2,32.9,81.7,69.6,36.2,31.5,14.6,13.2,32.9,13.0,9.2,24.4,18.4,50.8,44.1,12.7,UT,Rural,Central Zone
Garhwal,73.0,756.0,86.0,63.4,25.4,95.2,86.2,98.0,48.4,6.0,60.9,16.5,33.1,25.8,72.3,60.8,42.4,24.7,1.6,2.8,22.9,18.4,18.9,16.6,12.4,57.8,43.8,7.7,UT,Rural,Central Zone
Pithoragarh,68.1,791.0,81.6,60.8,24.6,93.8,75.7,89.7,32.5,33.6,66.3,10.2,23.1,26.7,68.9,69.2,46.0,25.0,13.6,13.1,31.6,14.9,9.9,14.9,14.6,41.8,35.3,10.5,UT,Rural,Central Zone
Bageshwar,72.6,874.0,83.2,66.5,19.8,94.8,79.0,93.6,41.9,20.4,54.7,18.0,22.7,24.2,56.0,61.1,33.0,32.4,11.7,11.3,25.2,25.1,14.9,9.7,16.7,49.1,41.7,17.2,UT,Rural,Central Zone
Almora,68.0,1014.0,82.3,62.9,20.0,84.4,78.4,98.0,38.5,9.8,53.9,14.5,28.4,34.1,64.0,58.6,53.7,29.9,9.4,9.1,34.3,25.2,30.9,7.7,13.8,48.2,32.7,20.3,UT,Rural,Central Zone
Champawat,68.8,1022.0,87.7,57.9,23.0,94.8,72.7,86.6,34.8,17.1,60.4,13.2,26.1,24.3,71.9,68.4,33.6,33.0,10.3,9.8,31.4,21.9,22.0,13.6,23.2,42.6,33.8,13.7,UT,Rural,Central Zone
Nainital,83.1,816.0,98.7,80.6,88.7,98.6,87.5,93.7,59.1,12.9,46.3,15.7,53.4,49.2,81.9,67.3,56.1,25.9,21.7,19.5,29.5,15.0,16.2,32.0,24.3,61.6,39.7,16.7,UT,Urban,Central Zone
Nainital,78.1,877.0,93.7,67.1,42.9,92.4,83.0,94.7,47.1,17.0,43.9,20.0,31.8,35.4,54.3,53.7,45.6,31.3,7.8,6.9,33.7,18.9,20.5,23.5,18.7,55.8,37.3,14.0,UT,Rural,Central Zone
Udham Singh Nagar,74.0,943.0,97.0,63.2,79.2,97.5,69.7,81.7,43.5,23.0,36.6,20.4,33.2,15.2,71.9,51.3,37.6,20.7,13.3,17.7,39.3,15.4,16.1,32.3,24.8,66.5,47.4,20.2,UT,Urban,Central Zone
Udham Singh Nagar,64.9,951.0,98.0,51.6,34.8,95.4,63.6,84.0,31.1,17.5,34.1,18.3,22.1,17.5,64.5,44.1,40.8,26.2,6.8,6.6,36.8,21.5,23.2,20.1,12.8,63.5,55.4,15.4,UT,Rural,Central Zone
Hardwar,72.8,773.0,99.2,66.9,72.7,96.9,73.3,89.5,37.4,12.4,41.5,15.1,33.9,24.4,74.2,55.5,31.5,28.1,5.5,4.8,39.9,15.4,12.7,32.5,25.1,70.4,48.9,11.8,UT,Urban,Central Zone
Hardwar,66.3,1042.0,99.0,48.7,24.2,96.1,61.1,82.9,22.5,17.7,33.1,20.1,16.3,14.9,54.7,55.2,26.2,15.0,1.6,2.6,38.5,24.9,19.7,17.3,15.8,71.5,60.2,22.7,UT,Rural,Central Zone
Saharanpur,71.1,844.74,98.49,66.89,71.14,98.09,73.67,83.16,45.46,9.03,44.39,9.82,52.22,20.76,66.44,61.62,38.43,14.12,4.31,3.3,33.18,19.33,17.81,32.69,25.28,75.96,59.67,13.27,UP,Urban,Central Zone
Saharanpur,62.72,935.19,99.65,43.48,21.75,98.28,61.9,81.55,28.1,7.01,42.43,10.64,36.82,11.75,60.47,62.99,41.56,26.04,8.34,7.99,38.53,31.84,29.07,13.59,14.18,75.29,62.08,21.25,UP,Rural,Central Zone
Muzaffarnagar,59.69,794.17,98.71,66.68,70.93,97.93,66.13,77.65,31.25,7.16,38.37,10.62,39.55,12.79,65.17,66.25,15.41,10.03,8.39,8.97,34.37,15.14,29.55,27.64,22.65,80.73,63.86,13.76,UP,Urban,Central Zone
Muzaffarnagar,64.47,809.09,100.0,49.1,25.29,91.97,63.68,87.35,30.01,8.92,47.45,11.38,35.81,18.93,66.03,62.42,17.79,20.66,11.78,7.86,43.58,23.85,24.77,19.1,4.7,77.87,64.85,28.46,UP,Rural,Central Zone
Bijnor,70.46,665.67,99.63,75.27,77.67,96.56,76.16,88.59,45.3,4.26,34.01,16.98,31.43,13.92,66.0,71.65,39.27,13.91,3.67,5.41,40.57,19.21,17.65,28.82,22.78,81.11,59.59,12.42,UP,Urban,Central Zone
Bijnor,62.36,841.48,100.0,55.81,20.12,95.97,63.3,86.48,28.34,7.52,38.46,12.48,23.0,14.19,75.04,69.42,41.79,14.9,2.55,2.93,43.15,26.54,33.5,17.14,4.94,69.85,57.71,29.2,UP,Rural,Central Zone
Moradabad,63.86,884.9,99.01,64.19,78.12,96.45,60.72,73.11,35.4,7.56,46.24,8.67,53.68,11.67,63.4,51.54,34.84,15.13,14.98,13.18,40.92,19.87,14.45,28.22,26.49,75.17,57.1,17.94,UP,Urban,Central Zone
Moradabad,53.55,918.42,100.0,44.57,25.83,96.4,44.48,74.78,19.79,10.3,37.6,11.34,40.72,3.98,60.49,49.07,29.01,18.21,7.13,6.26,47.01,33.37,35.88,11.65,7.24,74.61,64.79,20.75,UP,Rural,Central Zone
Rampur,50.69,846.44,100.0,45.67,21.03,98.46,39.56,60.51,14.56,11.94,36.17,10.03,58.61,4.83,58.92,72.61,44.54,28.27,9.21,7.25,48.42,29.42,32.38,12.31,9.42,77.47,58.26,17.26,UP,Rural,Central Zone
Jyotiba Phule Nagar,64.18,1184.4,99.62,69.06,65.06,97.9,63.55,78.81,32.25,3.99,49.62,12.63,42.37,9.69,68.21,61.09,54.03,27.92,2.89,6.32,40.34,23.04,17.28,25.7,15.59,79.59,58.31,20.18,UP,Urban,Central Zone
Jyotiba Phule Nagar,58.0,885.62,100.0,41.7,19.94,95.14,55.08,87.69,28.31,14.99,42.13,11.1,30.43,8.28,66.92,78.73,44.41,29.65,2.39,4.92,45.95,32.48,35.79,13.72,7.9,73.87,70.11,22.42,UP,Rural,Central Zone
Meerut,68.48,818.77,99.35,72.48,79.8,97.04,71.75,86.82,37.99,7.45,43.0,7.25,46.28,17.89,59.64,56.81,26.17,10.78,8.01,9.26,34.67,16.54,17.16,33.36,21.74,69.38,56.4,11.45,UP,Urban,Central Zone
Meerut,67.54,928.64,99.66,55.07,29.06,96.78,67.34,90.12,36.05,11.76,45.54,8.11,48.63,13.92,74.9,71.09,25.41,20.27,8.74,7.25,36.44,23.79,23.47,22.31,15.82,76.27,67.53,27.8,UP,Rural,Central Zone
Baghpat,63.75,789.7,99.74,60.93,30.82,97.66,68.45,91.64,39.33,13.57,39.86,8.37,53.36,26.02,75.01,72.21,42.5,30.34,2.56,2.63,38.56,22.69,13.35,23.14,12.12,77.57,65.34,17.56,UP,Rural,Central Zone
Ghaziabad,78.0,925.96,80.53,67.76,91.07,99.24,78.4,91.96,49.39,17.96,52.73,7.19,42.48,21.25,71.32,60.68,39.25,22.27,1.73,1.29,33.33,15.68,12.76,32.05,26.1,61.25,55.62,13.35,UP,Urban,Central Zone
